English,Spanish,French,German,Italian;;;;
excellent thing to do to pass the time and get good views of the city .,,,,;Una excelente opción para pasar el rato y disfrutar de buenas vistas de la ciudad.;Excellente activité pour passer le temps et profiter d'une belle vue sur la ville.;Eine hervorragende Möglichkeit, sich die Zeit zu vertreiben und einen schönen Blick auf die Stadt zu genießen.;cosa eccellente da fare per passare il tempo e avere una bella vista della città .,,,,
Especially if you are in a group , even a Taxi would be much cheaper per person .,,,,;Especialmente si vas en grupo, incluso un taxi sería mucho más barato por persona.,,,,;Surtout si vous êtes en groupe, même un taxi serait beaucoup moins cher par personne.,,,,;Besonders wenn Sie in einer Gruppe unterwegs sind, ist selbst ein Taxi pro Person viel günstiger.,,,,;Soprattutto se siete in gruppo, anche un taxi sarebbe molto più economico a persona.,,,,
also a great museum worth visiting which shows the story of the recent war with actual footage from the time .,,,,;También hay un gran museo que vale la pena visitar, que muestra la historia de la reciente guerra con imágenes reales de la época. El conductor no apareció y la línea de ayuda no respondió a las llamadas. Vistas increíbles desde la cima, un restaurante y una tienda (no compramos nada). Todos pasamos un día estupendo. Una vista magnífica del casco antiguo y sus alrededores. Desde lo alto del teleférico, se puede ver el casco antiguo de Dubrovnik en su totalidad, con las murallas que lo encapsulan. Vamos, hay que hacer algo al respecto, pero estoy seguro de que si la gente está dispuesta a pagar, ¿por qué no? Excelentes oportunidades para tomar fotos y un encantador restaurante en la cima para disfrutar de una comida, ver la puesta de sol o disfrutar de un helado casero. Restaurante caro en la cima. Sin duda, vale la pena. También hay una gran cafetería en la cima, con vistas espectaculares. .,,,,;Il y a aussi un superbe musée à visiter qui retrace l'histoire de la guerre récente avec des images réelles de l'époque. .,,,,;Außerdem gibt es ein tolles Museum, das einen Besuch wert ist und die Geschichte des letzten Krieges mit Originalaufnahmen aus dieser Zeit zeigt. .,,,,;anche un grande museo che vale la pena visitare che mostra la storia della guerra recente con filmati reali dell'epoca.,,,,
Driver did not show up and help line did not answer calls .,,,,;La cafetería de arriba también es buena.,,,,;Le chauffeur ne s'est pas présenté et le service d'assistance téléphonique n'a pas répondu aux appels.,,,,;Der Fahrer ist nicht erschienen und die Hotline hat keine Anrufe beantwortet.,,,,;L'autista non si è presentato e la linea di assistenza non rispondeva alle chiamate.,,,,
Amazing views from the top , and a restaurant , and shop ( we did not buy anything ).,,,,;Una maravillosa vista panorámica desde la cima y una forma estupenda de ver el casco antiguo.,,,,;Vue imprenable depuis le sommet, restaurant et boutique (nous n'avons rien acheté).,,,,;Wunderbare Aussicht vom Gipfel, ein Restaurant und ein Laden (wir haben nichts gekauft).,,,,;Panorami spettacolari dall'alto, un ristorante e un negozio (non abbiamo comprato nulla).,,,,
A great day out was had by all .,,,,;"También puedes probar el bar restaurante panorámico de la cima; es genial tomar una copa con estas vistas.,,,,";Tout le monde a passé une excellente journée.,,,,;Alle hatten einen tollen Tag.,,,,;Tutti si sono divertiti un mondo.,,,,
A great view of the old town aswell as the surrounding areas .,,,,;Fantásticas vistas panorámicas de la zona e incluso nos acompañó ganado local en la cima.,,,,;Une vue magnifique sur la vieille ville et ses environs.,,,,;Ein toller Blick auf die Altstadt und die Umgebung.,,,,;Una splendida vista della città vecchia e delle zone circostanti.,,,,
At the top of the cable car , you are able to see Old Dubrovnik in all of its entirety with the encapsulating city walls .,,,,;Dos semanas después, no he tenido noticias suyas.,,,,;Du haut du téléphérique, on peut admirer le vieux Dubrovnik dans son intégralité, avec ses remparts imposants.,,,,;Oben an der Seilbahn angekommen, kann man die Altstadt von Dubrovnik mit ihren umschließenden Stadtmauern in ihrer Gesamtheit sehen.,,,,;In cima alla funivia, puoi vedere la vecchia Dubrovnik in tutta la sua interezza con le mura della città che la circondano.,,,,
Come on , something must be done about this but I am sure as long as people are willing to pay then why not ?,,,,;No te pierdas el Fuerte Imperial junto al teleférico.,,,,;Allez, il faut faire quelque chose, mais tant que les gens sont prêts à payer, pourquoi pas ?,,,,;Na ja, da muss etwas unternommen werden, aber ich bin mir sicher, solange die Leute bereit sind zu zahlen, warum nicht?,,,,;Dai, qualcosa deve essere fatto al riguardo, ma sono sicuro che finché le persone sono disposte a pagare, perché no?,,,,
Excellent photo opportunities , and lovely restaurant at the top to enjoty a meal , watching the sun go down , or enjoy a home made ice cream .,,,,;Muy decepcionado con el servicio.,,,,;Excellentes photos, et un charmant restaurant au sommet pour savourer un repas, admirer le coucher du soleil ou déguster une glace maison.,,,,;Hervorragende Fotomöglichkeiten und ein schönes Restaurant oben, um eine Mahlzeit zu genießen, den Sonnenuntergang zu beobachten oder ein hausgemachtes Eis zu essen.,,,,;Ottime opportunità fotografiche e un delizioso ristorante in cima per gustare un pasto, guardare il tramonto o gustare un gelato fatto in casa.,,,,
Expensive restaurant at the top .,,,,;¡40 € para subir dos personas es demasiado!,,,,;Restaurant cher au sommet.,,,,;Teures Restaurant oben.,,,,;Ristorante costoso in cima.,,,,
Definitely worth doing , great cafe at the top too , with spectacular views .,,,,;¡No olvides ir también al Museo de la Guerra de la Independencia de Croacia en el fuerte, donde también puedes subir al tejado y disfrutar de vistas aún mejores!,,,,;Ça vaut vraiment le détour, et il y a aussi un excellent café au sommet, avec des vues spectaculaires.,,,,;Auf jeden Fall einen Besuch wert, tolles Café oben, mit spektakulärer Aussicht. .,,,,;Sicuramente vale la pena farlo, anche un ottimo bar in cima, con viste spettacolari.,,,,
Cafe up there is good as well .,,,,;Además, las paradas en cada ciudad no eran adecuadas. .,,,,;Café Là-haut, c'est bien aussi.;Das Café dort oben ist auch gut.,,,,;Anche il bar lassù è buono.,,,,
A wonderful panoramic view at the top and a great way to view the OldCity .,,,,;Después de dejar a mi esposa con las maletas, tuve que caminar para encontrar el alojamiento, que estaba al otro lado de la transitada carretera principal que lleva a Dubrovnik.,,,,;Une magnifique vue panoramique au sommet et une excellente façon de découvrir la vieille ville.;Ein wunderbarer Panoramablick von oben und eine tolle Möglichkeit, die Altstadt zu betrachten.,,,,;Una meravigliosa vista panoramica a la cima e un ottimo modo per vedere la Città Vecchia.,,,,
Also try the panorama bar restaurant at the top , it 's great to have a drink with this view .,,,,;Debido al enorme contraste, ¡puedo decir que la guía turística de este viaje es realmente mala!,,,,;Essayez également le bar-restaurant panoramique au sommet, c'est agréable de prendre un verre avec cette vue.;Probieren Sie auch das Panorama-Bar-Restaurant oben aus. Es ist großartig, bei dieser Aussicht etwas zu trinken.,,,,;Provate anche il ristorante bar panoramico in cima, è fantastico bere qualcosa con questa vista.,,,,
Fantastic panoramic views of the area and we even had local cattle join us at the top.,,,,;Nos comunicamos por SMS la noche antes de la recogida y confirmamos que el transporte saldría en nuestro hotel a las 8 a. m.,,,,;Une vue panoramique fantastique sur la région et nous avons même eu du bétail local avec nous au sommet.;Fantastischer Panoramablick auf die Umgebung, und wir wurden sogar von einheimischen Rindern auf dem Gipfel begleitet.,,,,;Fantastiche viste panoramiche della zona e abbiamo persino avuto bovini locali che si sono uniti a noi in cima.,,,,
2 weeks later and I have heard nothing from them .,,,,;Las mejores bebidas en el restaurante de la cima.,,,,;Deux semaines plus tard, je n'ai toujours pas de nouvelles.;2 Wochen später habe ich immer noch nichts von ihnen gehört.,,,,;2 settimane dopo e non ho più sentito nulla da loro.,,,,
Do not miss FortImperial next to the cable car .,,,,;Las mejores oportunidades para sacar fotos del casco antiguo desde arriba.,,,,;Ne manquez pas le Fort Impérial à côté du téléphérique.;Verpassen Sie nicht das FortImperial neben der Seilbahn.,,,,;Non perdetevi FortImperial accanto alla funivia.,,,,
Extremely disappointed with the service .,,,,;Totalmente poco fiable.,,,,;Extrêmement déçu du service.;Sehr enttäuscht vom Service.,,,,;Estremamente deluso dal servizio.,,,,
40 ‚Ä∞√¢√Ç for 2 person to go up is basically too much !,,,,;Impresionantes, buenas vistas desde el coche.,,,,;40 € pour deux personnes, c'est vraiment trop cher !;40 ‚Ä∞√¢√Ç für zwei Personen ist einfach zu viel!,,,,;40 ‚Ä∞√¢√Ç per 2 persone per salire è fondamentalmente troppo!,,,,
Be sure to go to the Museum of Croatian War of Independence in the fort too , where you can also climb onto the roof and see even better views !,,,,;Después de la primera parada, le dijimos a la guía turística, Nicholina, que no estábamos contentos en la parte trasera de la furgoneta y le informamos que nos gustaría cambiar de asiento.,,,,;N'oubliez pas de visiter le musée de la Guerre d'Indépendance croate dans le fort, où vous pouvez également monter sur le toit et profiter d'une vue encore plus belle !;Besuchen Sie unbedingt auch das Museum des kroatischen Unabhängigkeitskrieges in der Festung. Dort können Sie auch auf das Dach steigen und die Aussicht noch besser genießen!,,,,;Assicuratevi di andare anche al Museo della Guerra d'Indipendenza Croata nel forte, dove potete anche salire sul tetto e vedere viste ancora migliori!,,,,
Also , the stops in each city were not adequate .,,,,;¡Absolutamente fantástico!,,,,;De plus, les arrêts dans chaque ville n'étaient pas suffisants.;Außerdem waren die Haltestellen in den einzelnen Städten nicht ausreichend. .,,,,;Inoltre, le fermate in ogni città non erano adeguate.,,,,
After leaving my wife with the cases i had to walk to find the accommodation , which was across the very busy main road into Dubrovnik .,,,,;Una pérdida total de 100 nudos. .,,,,;Après avoir laissé ma femme avec les valises J'ai dû marcher pour trouver l'hébergement, qui se trouvait de l'autre côté de la route principale très fréquentée menant à Dubrovnik.;Nachdem ich meine Frau mit den Koffern zurückgelassen hatte, musste ich zu Fuß zur Unterkunft gehen, die auf der anderen Seite der stark befahrenen Hauptstraße nach Dubrovnik lag.,,,,;Dopo aver lasciato mia moglie con le valigie ho dovuto camminare per trovare l'alloggio, che era dall'altra parte trafficata strada principale per Dubrovnik .,,,,
Because of the huge contrast , I can said that the tour guide of this trip is really bad !,,,,;Una vez más, y para nuestra frustración, los grupos de cruceros tuvieron prioridad y tuvimos que esperar.;En raison du contraste saisissant, je peux dire que le guide de ce voyage est vraiment mauvais !;Aufgrund des enormen Kontrasts muss ich sagen, dass der Reiseleiter dieser Reise wirklich schlecht ist!,,,,;A causa dell'enorme contrasto, posso dire che la guida turistica di questo viaggio è davvero pessima!,,,,
Communicated by text message the evening before the pick up and confirmed that ride would be at our hotel at 8am .,,,,;Por unos 15 £ cada uno, es mucho mejor que subir caminando, ¡y hay unas vistas preciosas durante el trayecto!;Nous avons communiqué par SMS la veille du départ et avons confirmé que le chauffeur arriverait à notre hôtel à 8 h.;Wir haben am Abend vor der Abholung per SMS mitgeteilt, dass die Fahrt um 8 Uhr morgens an unserem Hotel ankommen würde.,,,,;Comunicato tramite messaggio di testo la sera prima del ritiro e confermato che il viaggio sarebbe stato al nostro hotel alle 8 di mattina .,,,,
Best drinks at restaurant at the top .,,,,;;Meilleures boissons au restaurant au sommet.;Die besten Drinks im Restaurant oben.,,,,;I migliori drink al ristorante in cima .,,,,
Best photo ops of OldTown from above .,,,,;;Superbes photos de la vieille ville d'en haut.;Die besten Fotomotive der Altstadt von oben.,,,,;I migliori servizi fotografici di OldTown dall'alto .,,,,
Completely unreliable .,,,,;;Absolument pas fiable.;Völlig unzuverlässig.,,,,;Completamente inaffidabile .,,,,
Breathtaking, good views from the car .,,,,;;Vues magnifiques depuis la voiture à couper le souffle.;Atemberaubend, tolle Aussicht vom Auto.,,,,;Mozzafiato, belle viste dall'auto .,,,,
After the first stop , we tell the tour guide , Nicholina , that we are unhappy at the back of the van and inform her that we would like to change seats .,,,,;;Après le premier arrêt, nous avons fait part à la guide, Nicholina, de notre mécontentement à l'arrière du van et lui avons indiqué que nous souhaitions changer de place.;Nach dem ersten Halt sagen wir der Reiseleiterin Nicholina, dass wir hinten im Van unzufrieden sind und teilen ihr mit, dass wir gerne die Plätze tauschen würden.,,,,;Dopo la prima tappa, diciamo alla guida turistica, Nicholina, che non siamo contenti sul retro del furgone e la informiamo che vorremmo cambiare posto .,,,,
Absolutely fantastic !,,,,;;Absolument fantastique !;Absolut fantastisch!,,,,;Assolutamente fantastico !,,,,
Complete waste of 100kn .,,,,;;Un gaspillage total de 100 kn.;Komplette 100 Kuna-Verschwendung.,,,,;Completo spreco di 100 kn .,,,,
Again , frustratingly , the cruise groups were given a priority and we had to wait .,,,,;;Encore une fois, et c'est frustrant, les groupes de croisière ont été prioritaires. Et on a dû attendre…;Nochmal Leider wurden die Kreuzfahrtgruppen bevorzugt behandelt, und wir mussten warten.;Ancora una volta, frustrantemente, ai gruppi di crociera è stata data la priorità e abbiamo dovuto aspettare .,,,,
At about ¬£15 each it is much better than walking up and there are lovely views on the way !,,,,;;À environ 15 £ chacun, c'est bien mieux que de monter à pied, et il y a de superbes vues en chemin !;Für etwa 15 £ pro Person ist es viel besser, als zu Fuß hinaufzugehen, und unterwegs hat man eine wunderschöne Aussicht!;A circa ¬£15 a testa è molto meglio che salire a piedi e ci sono viste incantevoli lungo il cammino!,,,,
