English,Spanish,French,German,Italian;;;;
Cable car gives quick access to spectacular views over Dubrovnik and out to the islands .,,,,;El teleférico ofrece acceso rápido a vistas espectaculares de Dubrovnik y las islas.;Le téléphérique offre un accès rapide à des vues spectaculaires sur Dubrovnik et les îles.;Die Seilbahn bietet schnellen Zugang zu spektakulären Ausblicken über Dubrovnik und die Inseln.;La funivia offre un rapido accesso a viste spettacolari su Dubrovnik e sulle isole.,,,,
Excellent views of the bays , including LapadBay where the Kompas hotel is , and the mountains .,,,,;Excelentes vistas de las bahías, incluida la bahía de Lapad, donde está el hotel Kompas, y de las montañas.;Excellentes vues sur les baies, dont la baie de Lapad où se trouve l'hôtel Kompas, et sur les montagnes.;Hervorragende Aussicht auf die Buchten, einschließlich der Lapad-Bucht, wo sich das Hotel Kompas befindet, und die Berge.,,,,;Viste eccellenti delle baie, inclusa LapadBay dove si trova l'hotel Kompas, e delle montagne .,,,,
A few passengers looked awful unwell from the long drive and dehydration .,,,,;Algunos pasajeros tenían un aspecto horrible. Indispuestos por el largo viaje y la deshidratación...;Quelques passagers semblaient très malades à cause du long trajet et de la déshydratation. .,,,,;Einige Passagiere sahen von der langen Fahrt und der Dehydrierung sehr krank aus. .,,,,;Alcuni passeggeri sembravano terribilmente malati a causa del lungo viaggio e della disidratazione .,,,,
Absolutely worth the visit .,,,,;Vale la pena la visita.;Ça vaut vraiment le détour.,,,,;Ein Besuch lohnt sich absolut.,,,,;Vale assolutamente la pena visitarla .,,,,
Do not miss the war museum up there .,,,,;No se pierdan el museo de la guerra que está ahí arriba.;Ne manquez pas le musée de la guerre là-haut.,,,,;Verpassen Sie nicht das Kriegsmuseum dort oben.,,,,;Non perdetevi il museo della guerra lassù .,,,,
30 people herded in to a carriage that should really only have held half that amount .,,,,;30 personas metidas en un vagón que en realidad solo debería haber cabido la mitad.;30 personnes entassées dans un wagon qui n'aurait dû contenir que la moitié de ce nombre.,,,,;30 Personen in einen Waggon gepfercht, der eigentlich nur halb so viele Personen fassen sollte.,,,,;30 persone ammassate in una carrozza che in realtà avrebbe dovuto contenere solo la metà di quella quantità .,,,,
Firstly it was outrageous that a mature couple would be dropped at North City gate when the driver new that we would have to carry two large suitcases and two cabin bags down the 123 steps and then that the company justified this by saying it was their choice not ours .,,,,;Primero, fue indignante que nos dejaran en la puerta norte de la ciudad cuando el conductor sabía que tendríamos que bajar dos maletas grandes y dos bolsos de mano por los 123 escalones, y luego que la compañía lo justificara diciendo que era su decisión, no la nuestra.;Tout d'abord, c'était scandaleux qu'un couple d'âge mûr soit déposé à la porte Nord de la ville alors que le chauffeur savait que nous devrions descendre les 123 marches avec deux grosses valises et deux bagages cabine, et ensuite que la compagnie ait justifié cela en disant que c'était leur choix, pas le nôtre.,,,,;Erstens war es unerhört, dass ein älteres Paar am Nordtor der Stadt abgesetzt wurde, obwohl der Fahrer wusste, dass wir zwei große Koffer und zwei Handgepäckstücke die 123 Stufen hinuntertragen mussten. Dann rechtfertigte das Unternehmen dies damit, dass es ihre Entscheidung sei, nicht unsere.,,,,;Innanzitutto è stato scandaloso che una coppia matura venisse lasciata al cancello di North City quando l'autista sapeva che avremmo dovuto trasportare due grandi valigie e due bagagli a mano giù per i 123 gradini e poi che la compagnia lo giustificasse dicendo che era una loro scelta, non nostra .,,,,
At the end of the trip , we were abruptly told we would not be dropped off at our original pickup location and were left in the middle of the road about a half mile from our pickup location ( the local bus stop ) .,,,,;Al final del viaje, nos dijeron abruptamente que no nos dejarían en nuestro punto de recogida original y nos dejaron en medio de la carretera a unos 800 metros de nuestro punto de recogida (la parada de autobús local).;À la fin du trajet, on nous a brusquement annoncé que nous ne serions pas déposés à notre point de départ initial et on nous a laissés au milieu de la route à environ 800 mètres de notre point de départ (l'arrêt de bus local).,,,,;Am Ende der Fahrt wurde uns abrupt mitgeteilt, dass wir nicht an unserem ursprünglichen Abholort abgesetzt würden. Wir wurden mitten auf der Straße, etwa 800 Meter von unserem Abholort (der örtlichen Bushaltestelle) entfernt, abgesetzt.,,,,;Alla fine del viaggio, ci è stato detto all'improvviso che non saremmo stati lasciati al nostro punto di prelievo originale e siamo stati lasciati in mezzo alla strada a circa mezzo miglio dal nostro punto di prelievo (la fermata dell'autobus locale) .,,,,
Although I do not have a head for heights , I really enjoyed the cable car !,,,,;Aunque no tengo vértigo, ¡disfruté mucho del teleférico!;Même si je n'ai pas le vertige, j'ai vraiment apprécié le téléphérique !,,,,;Obwohl ich nicht schwindelfrei bin, hat mir die Seilbahn sehr gut gefallen!,,,,;Sebbene non abbia la testa per le altezze, mi è piaciuta molto la funivia!,,,,
A great way to see the surrounding countryside and spectacular views of the OldTown .,,,,;Una forma estupenda de ver el campo circundante y las espectaculares vistas del casco antiguo.;Une excellente façon de découvrir la campagne environnante et d'admirer des vues spectaculaires sur la vieille ville.,,,,;Eine tolle Möglichkeit, die umliegende Landschaft zu erkunden und einen spektakulären Blick auf die Altstadt zu genießen.,,,,;Un ottimo modo per vedere la campagna circostante e viste spettacolari della Città Vecchia .,,,,
A disaster that will not happen again because I will not use your services again .,,,,;Un desastre que... No volverá a pasar porque no volveré a usar sus servicios.;Un désastre qui ne se reproduira plus, car je ne ferai plus appel à vos services. .,,,,;Eine Katastrophe, die sich nicht wiederholen wird, weil ich sie nicht benutzen werde Ihre Dienste wieder.;Un disastro che non accadrà più perché non userò il tuo servizi di nuovo .,,,,
For a reason my booking was cancelled and the website clearly states no charge for 5 days notice for standard taxi and 24 hours notice for luxury .,,,,;Por alguna razón, mi reserva fue cancelada y la página web indica claramente que no hay cargo por aviso de 5 días para taxis estándar y de 24 horas para taxis de lujo.;Pour une raison quelconque, ma réservation a été annulée, et le site web indique clairement qu'il n'y a pas de frais pour un taxi standard avec un préavis de 5 jours et un préavis de 24 heures pour un taxi de luxe.,,,,;Aus irgendeinem Grund wurde meine Buchung storniert, und auf der Website steht eindeutig, dass bei einer Vorlaufzeit von 5 Tagen für ein Standardtaxi und 24 Stunden für ein Luxustaxi keine Gebühr anfällt.;Per un motivo la mia prenotazione è stata annullata e il sito web afferma chiaramente che non ci sono costi per un preavviso di 5 giorni per un taxi standard e un preavviso di 24 ore per il lusso .,,,,
Afterwards we walked to local village Bosanka ( about a mile ) and had a terrific lunch at KonobaDubrava - well worth the walk !,,,,;Después caminamos hasta el pueblo de Bosanka (aproximadamente 1,6 km) y disfrutamos de un almuerzo estupendo en Konoba Dubrava. ¡Valió la pena la caminata!;Ensuite, nous avons marché jusqu'au village de Bosanka (environ 1,6 km) et avons déjeuné à KonobaDubrava – ça valait vraiment le détour !,,,,;Danach gingen wir zu Fuß ins nahegelegene Dorf Bosanka (etwa 1,6 km) und aßen ein fantastisches Mittagessen in der Konoba Dubrava – der Spaziergang hat sich wirklich gelohnt!;Successivamente abbiamo camminato fino al villaggio locale di Bosanka (circa un miglio) e abbiamo pranzato alla KonobaDubrava - ne valeva la pena!,,,,
After that tAke a deep breath and enjoy the ride both ways .,,,,;Después de eso, respiren hondo y disfruten del viaje de ida y vuelta.;Après cela, respirez profondément et profitez du trajet aller-retour.,,,,;Danach tief durchatmen und die Fahrt in beide Richtungen genießen.;Dopo di che prendi un respiro profondo e goditi il __viaggio in entrambe le direzioni .,,,,
Besides , he was cursing and commenting everything on the way of 20km .,,,,;Además, estuvo maldiciendo y comentando todo durante los 20 km.;En plus, il n'arrêtait pas de jurer et de commenter tout sur les 20 km de route.,,,,;Außerdem fluchte er und kommentierte alles auf dem 20 km langen Weg.;Inoltre, stava imprecando e commentando tutto durante il percorso di 20 km .,,,,
A good way to get away from the crowded streets below .,,,,;Una buena manera de escapar de las calles abarrotadas de gente.;Un bon moyen de s'éloigner des rues bondées en contrebas.,,,,;Eine gute Möglichkeit, den überfüllten Straßen unten zu entkommen.;Un buon modo per allontanarsi dalle strade affollate sottostanti .,,,,
Everything they confirmed in their emails were lies .,,,,;Todo lo que confirmaron en sus correos electrónicos era mentira.;Tout ce qu'ils ont confirmé dans leurs e-mails était des mensonges.,,,,;Alles, was sie in ihren E-Mails bestätigten, war gelogen.;Tutto ciò che hanno confermato nelle loro e-mail erano bugie .,,,,
Also the museum is worth a visit .,,,,;Además, el museo merece una visita.;Le musée vaut également le détour.,,,,;Außerdem ist das Museum einen Besuch wert.;Anche il museo merita una visita .,,,,
At this point , she asked us to move as two people who sat there ‚Ä∞√õ√è had written a note ‚Ä∞√õ¬ù requesting for the seat .,,,,;"En ese momento, nos pidió que nos moviéramos porque dos personas que estaban sentadas allí ""Ä∞√õ√è"" habían escrito una nota. ‚Ä∞√õ¬ù solicitando el asiento...";À ce moment-là, elle nous a demandé de bouger, car deux personnes assises là avaient écrit un mot pour demander la place. .,,,,;An diesem Punkt bat sie uns, weiterzugehen, da zwei Personen, die dort saßen, eine Nachricht geschrieben hatten. ‚Ä∞√õ¬ù, um einen Sitzplatz gebeten.,,,,;A questo punto, ci ha chiesto di spostarci perché due persone sedute lì ‚Ä∞√õ√è avevano scritto una nota ‚Ä∞√õ¬ù richiesta per il posto .,,,,
Can not really describe it in words so I added a view photos ... I think it is worth the cost of admission .,,,,;No puedo describirlo con palabras, así que agregué fotos de la vista... Creo que vale la pena el precio de la entrada...;Je n'arrive pas vraiment à le décrire avec des mots, alors j'ai ajouté quelques photos… Je pense que le prix d'entrée en vaut la peine.,,,,;Ich kann es nicht wirklich in Worte fassen, deshalb habe ich ein paar Fotos hinzugefügt ... Ich denke, es ist den Eintrittspreis wert.,,,,;Non riesco a descriverlo a parole, quindi ho aggiunto una vista delle foto ... Penso che valga il costo del biglietto .,,,,
A very pleasant trip up in the cable car in a couple of minutes with the view getting better the higher you go .,,,,;Un viaje muy agradable en teleférico en un par de minutos, con la vista mejorando a medida que subes...;Une montée très agréable en téléphérique en quelques minutes, avec une vue de plus en plus belle à mesure que l'on monte.,,,,;Eine sehr angenehme Fahrt mit der Seilbahn in wenigen Minuten, mit einer Aussicht, die immer besser wird, je höher man kommt.,,,,;Un viaggio molto piacevole in funivia in un paio di minuti con la vista che migliora man mano che si sale .,,,,
150 kn for a fast ride and then a huge line to go back !,,,,;150 nudos para un viaje rápido y luego una cola enorme para volver.;150 kn pour un trajet rapide, puis une file d'attente interminable pour le retour !,,,,;150 kn für eine rasante Fahrt und dann eine lange Schlange für die Rückfahrt!,,,,;150 kn per un giro veloce e poi una fila enorme per tornare indietro !,,,,
A must do when visiting Dubrovnik .,,,,;Una visita obligada cuando visites Dubrovnik.;Un incontournable lors d'une visite à Dubrovnik.,,,,;Ein Muss bei einem Besuch in Dubrovnik.,,,,;Un must quando si visita Dubrovnik .,,,,
Fantastic !,,,,;¡Fantástico!;Fantastique !,,,,;Fantastisch!,,,,;Fantastico !,,,,
