English,Spanish,French,German,Italian;;;;
Dune buggies were available for driving !,,,,;;Des buggys étaient disponibles pour la conduite !;Dünenbuggys standen zum Fahren bereit!;Dune buggy disponibili per la guida!
After one hour of looking and a call to the office ( message left , no one answered ) , we had to make other arrangements or waste the day .,,,,;;Après une heure de recherche et un appel au bureau (message laissé, personne n'a répondu), nous avons dû prendre d'autres dispositions ou perdre notre journée.;Nach einer Stunde Suche und einem Anruf im Büro (Nachricht hinterlassen, niemand antwortete) mussten wir etwas anderes organisieren oder den Tag verschwenden.;Dopo un'ora di ricerche e una chiamata all'ufficio (messaggio lasciato, nessuno ha risposto), abbiamo dovuto prendere altri accordi o sprecare la giornata.
"They confirmed my booking emailing my with a wrong driver ` s phone number ; - They driver did not speak any word in English , they did not have change to my payment .,,,,";;"Ils ont confirmé ma réservation par e-mail avec le mauvais numéro de chauffeur ; le chauffeur ne parlait pas un mot d'anglais et n'avait pas de monnaie sur mon paiement.";Sie bestätigten meine Buchung per E-Mail mit der falschen Telefonnummer des Fahrers. Der Fahrer sprach kein Wort Englisch und hatte kein Wechselgeld für meine Zahlung.;"Hanno confermato la mia prenotazione inviandomi un'e-mail con il numero di telefono di un autista sbagliato; - L'autista non parlava una parola di inglese, non avevano il resto per il mio pagamento."
But he just did it this morning in Lyon when he warned me one hour in advance to look for a taxi because they can not do the service to the airport .,,,,;;Mais il vient de le faire ce matin à Lyon, en m'avertissant une heure à l'avance de chercher un taxi, car ils ne pouvaient pas assurer le service jusqu'à l'aéroport.;Aber er hat es heute Morgen in Lyon getan, als er mich eine Stunde vorher warnte, ich solle mir ein Taxi suchen, weil sie den Service zum Flughafen nicht anbieten könnten.;Ma l'ha fatto stamattina a Lione quando mi ha avvisato con un'ora di anticipo di cercare un taxi perché non possono fare il servizio per l'aeroporto.
Expensive and slow because of queues .,,,,;;Cher et lent à cause des files d'attente.;Teuer und langsam wegen der Warteschlangen.;Caro e lento a causa delle code.
After waiting on hold for another 10 minutes I hung up and called back .,,,,;;Après avoir attendu 10 minutes supplémentaires, j'ai raccroché et rappelé.;Nach weiteren 10 Minuten in der Warteschleife legte ich auf und rief zurück.;Dopo aver aspettato in attesa per altri 10 minuti ho riattaccato e richiamato.
But at the ' end of the day ' it all depends on how wealthy or daft you are to spend money like that I suppose .,,,,;;Mais au final, tout dépend de votre niveau de richesse ou de votre folie pour dépenser de l'argent comme ça, je suppose.;Aber letzten Endes hängt es wohl davon ab, wie reich oder dumm man ist, so viel Geld auszugeben.;Ma alla fine della giornata tutto dipende da quanto sei ricco o sciocco a spendere soldi in quel modo, suppongo.
But 140 kuna is robbery .,,,,;;Mais 140 kunas, c'est du vol.;Aber 140 Kuna sind ein Schnäppchen.;Ma 140 kune sono una rapina.
Easily accessible from the city walls , a short walk which is clearly marked .,,,,;;Facile d'accès depuis les remparts de la ville, une courte promenade clairement indiquée.;Leicht erreichbar von der Stadtmauer aus, ein kurzer Fußweg, der deutlich ausgeschildert ist.;Facilmente raggiungibile dalle mura della città, una breve passeggiata che è chiaramente segnalata.
Extremely disappointed at the way we were treated today .,,,,;;Extrêmement déçu de la façon dont nous avons été traités aujourd'hui.;Sehr enttäuscht darüber, wie wir heute behandelt wurden.;Estremamente deluso dal modo in cui siamo stati trattati oggi.
Can get as good a view from the highway .,,,,;;On peut avoir une vue aussi belle depuis l'autoroute.;Von der Autobahn aus hat man eine genauso gute Aussicht.;Si può avere una vista altrettanto bella dall'autostrada.
After 20 minutes , I travelled into town to attempt to find the bus at another stop .,,,,;;Après 20 minutes, je suis allé en ville pour essayer de trouver le bus à un autre arrêt.;Nach 20 Minuten fuhr ich in die Stadt, um an einer anderen Haltestelle den Bus zu finden.;Dopo 20 minuti, sono andato in città per cercare di trovare l'autobus a un'altra fermata.
Both views were excellent .,,,,;;Les deux vues étaient excellentes.;Beide Aussichten waren ausgezeichnet.;Entrambe le viste erano eccellenti.
Excellent view at the top was reasonably priced  ,,,,;;L'excellente vue du sommet était à un prix raisonnable.;Die tolle Aussicht von oben war günstig.;La vista eccellente in cima era a un prezzo ragionevole
A cable car ride to the top of MountSrd should not be missed when visiting Dubrovnik .,,,,;;Une excursion en téléphérique jusqu'au sommet du Mont-Sud est un incontournable lors d'une visite à Dubrovnik.;Eine Seilbahnfahrt auf den Berg Srd sollte man sich bei einem Besuch in Dubrovnik nicht entgehen lassen.;Una corsa in funivia fino alla cima del Monte Srd non dovrebbe essere persa quando si visita Dubrovnik.
Absolute joke of customer service .,,,,;;Un service client absolument ridicule.;Ein absoluter Witz vom Kundenservice.;Una barzelletta assoluta del servizio clienti.
As a result of the no show , we missed our flight from Geneva and had to buy seats on a later flight .,,,,;;À cause de cette absence, nous avons raté notre vol de Genève et avons dû réserver des places pour un vol ultérieur.;Wegen des Nichterscheinens verpassten wir unseren Flug von Genf und mussten Plätze für einen späteren Flug buchen.;A causa della mancata presentazione, abbiamo perso il nostro volo da Ginevra e abbiamo dovuto acquistare posti su un volo successivo.
20 sweaty people in a 2 square meter cable car .,,,,;;20 personnes en sueur dans un téléphérique de 2 mètres carrés.;20 verschwitzte Menschen in einer 2 Quadratmeter großen Seilbahn.;20 persone sudate in una funivia di 2 metri quadrati.
Both times the drivers messed up .,,,,;;Les deux fois, les chauffeurs ont fait des erreurs.;Beide Male haben die Fahrer Mist gebaut.;Entrambe le volte gli autisti hanno sbagliato.
at the top of MtStd will see the best view of old town wall and surrounding are and island , never to miss if if visiting dubrobnik ....,,,,;;Au sommet du Mont-Sud, vous aurez la plus belle vue sur les remparts de la vieille ville, les environs et l'île. À ne pas manquer si vous visitez Dubrovnik…;Vom Gipfel des Berges Srd hat man den besten Blick auf die Altstadtmauer, die umliegende Landschaft und die Insel. Ein absolutes Muss bei einem Besuch in Dubrovnik.;in cima al Monte Srd vedrai la migliore vista delle mura della città vecchia e delle aree circostanti e dell'isola, da non perdere se si visita Dubrovnik....
Excellent views of Dubrovnik .,,,,;;Excellentes vues sur Dubrovnik.;Hervorragende Aussicht auf Dubrovnik.;Viste eccellenti di Dubrovnik.
Excellent site to visit and enjoy the view of this superb city by the sea .,,,,;;Excellent site à visiter pour profiter de la vue sur cette superbe ville en bord de mer.;Ein toller Ort, um die Aussicht auf diese großartige Stadt am Meer zu genießen.;Un sito eccellente da visitare e godersi la vista di questa superba città sul mare.
Beautiful views from the top and a cool restaurants which i recommend having a drink at !,,,,;;Une vue magnifique depuis le sommet et des restaurants sympas où je recommande d'aller boire un verre !;Wunderschöne Aussicht von oben und ein cooles Restaurant, in dem ich einen Drink empfehlen kann!;Belle viste dalla cima e un ristorante fantastico in cui consiglio di bere qualcosa!
AVOID .,,,,;;À ÉVITER.;VERMEIDEN!;EVITATE.
Also the walk through the old town was fascinating .,,,,;;La promenade dans la vieille ville était également fascinante.;Auch der Spaziergang durch die Altstadt war faszinierend.;Anche la passeggiata attraverso la città vecchia è stata affascinante.
Enjoyable experience .,,,,;;Une expérience agréable.;Ein tolles Erlebnis.;Esperienza piacevole.
A worthwhile trip .,,,,;;Une excursion qui en vaut la peine.;Ein lohnender Ausflug.;Un viaggio che vale la pena fare.
Although it is expensive it is a great joy to ride it .,,,,;;Même si c'est cher, c'est un vrai plaisir de l'emprunter.;Obwohl es teuer ist, macht die Fahrt großen Spaß.;Anche se è costoso, è una grande gioia percorrerlo.
Do not bother to use Connecto , airport taxis same price , no quality , no wait .,,,,;;"N'utilisez pas Connecto ; les taxis de l'aéroport sont au même prix, sans qualité et sans attente.";Vermeiden Sie Connecto, Flughafentaxis, gleicher Preis, keine Qualität, keine Wartezeit.;Non prendetevi la briga di usare Connecto, i taxi aeroportuali costano lo stesso, non c'è qualità, non c'è attesa.
Also there is a museum p there about the war in the 90 's which is fascinating .,,,,;;Il y a aussi un musée sur la guerre des années 90, qui est fascinant.;Außerdem gibt es dort ein faszinierendes Museum über den Krieg in den 90er Jahren.;Inoltre c'è un museo sulla guerra degli anni '90, che è affascinante.
By far the most expensive couple of minutes cable car ride I have ever taken .,,,,;;De loin le trajet en téléphérique de quelques minutes le plus cher que j'aie jamais fait.;Die mit Abstand teuerste Seilbahnfahrt von ein paar Minuten, die ich je gemacht habe.;Di gran lunga il giro in funivia di un paio di minuti più costoso che abbia mai fatto.
Called the helpline to CONFIRM the price which was approved by customer services .,,,,;;J'ai appelé le service client pour confirmer le prix, qui a été approuvé par le service client.;Ich habe die Hotline angerufen, um den Preis zu BESTÄTIGEN, der vom Kundenservice genehmigt wurde.;Ho chiamato la linea di assistenza per CONFERMARE il prezzo che è stato approvato dal servizio clienti.
A cable car that takes you up the mountain to give stunning views over the sea with mountains behind you ?,,,,;;Un téléphérique qui vous emmène en haut de la montagne et offre une vue imprenable sur la mer et les montagnes en arrière-plan ?;Eine Seilbahn, die Sie auf den Berg bringt und Ihnen einen atemberaubenden Blick auf das Meer mit den Bergen im Hintergrund bietet?;Una funivia che ti porta in cima alla montagna per regalarti viste mozzafiato sul mare con le montagne alle spalle?
At one point we were told to follow her and she literally walked around in a circle .,,,,;;À un moment, on nous a dit de la suivre et elle a littéralement tourné en rond.;An einer Stelle wurden wir gebeten, ihr zu folgen, und sie ist buchstäblich im Kreis gelaufen.;A un certo punto ci è stato detto di seguirla e lei ha letteralmente camminato in cerchio.
A fantastic trip and the view is spectacular .,,,,;;Une excursion fantastique et la vue est spectaculaire.;Eine fantastische Fahrt und die Aussicht ist spektakulär.;Un viaggio fantastico e la vista è spettacolare.
Allow time to take in the view from the caf≈Ω at the top .,,,,;;Prenez le temps d'admirer la vue depuis le café au sommet.;Nehmen Sie sich Zeit, um die Aussicht vom Café oben zu genießen.;Concedetevi del tempo per ammirare la vista dal bar in cima.
